relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
3821,,7.594407558441162,,
3841,2.304648913044293,7.536946773529053,-1.8602946996688843,-0.5267243981361389
3859,,,-1.8339585065841675,
3860,1.8951587385057014,8.02536392211914,,-0.5674257874488831
3879,1.9355051168947177,,-0.9959878921508789,
3880,,7.790732383728027,,-0.8882488012313843
3899,2.6667574231280566,7.285555839538574,0.2082955539226532,-1.173158884048462
3919,,,0.7038952708244324,
3920,3.122373774399943,6.971915245056152,,-1.1875240802764893
3939,,,0.8643068075180054,
3940,2.895178100958055,7.275979042053223,,-0.9241618514060974
3959,,,0.3878606855869293,
3960,2.111144503390703,8.04691219329834,,-0.24660277366638184
3979,,,0.3711012601852417,
3980,1.8019806349345708,8.712499618530273,,0.11013327538967133
3999,,,1.0630255937576294,
4000,2.664911308315713,8.96149730682373,,0.993593692779541
4019,,,1.5610195398330688,
4020,3.381660388572835,9.279925346374512,,1.7549498081207275
4039,2.6660658835120805,9.679757118225098,1.3670891523361206,1.1899182796478271
4059,,,1.4221558570861816,
4060,2.1249557939307038,10.029311180114746,,0.47884035110473633
4079,2.3844968752129643,10.869675636291504,1.0678139925003052,1.0079588890075684
4099,3.6853794530898494,12.306197166442871,0.6392518281936646,1.9632453918457031
4119,4.225528950281606,,-0.0933738648891449,
4120,,12.339715957641602,,2.808398485183716
4139,4.750654275907092,,-1.3670891523361206,4.072536945343018
4140,,10.199298858642578,,
4158,,,-0.21787235140800476,
4159,1.7939353448365571,10.8505220413208,,-1.7525556087493896
4178,11.454302676491812,14.45619010925293,1.7118542194366455,-10.60152530670166
4198,8.351377965103461,16.876728057861328,2.3582887649536133,-4.177882194519043
4217,,,1.1228805780410767,
4218,3.0991979853610223,11.899182319641113,,-2.4588451385498047
4237,,,-0.5003881454467773,
4238,3.5100632818880753,10.165780067443848,,-3.7158010005950928
4257,,,-2.5258827209472656,
4258,3.7275929176011946,9.983820915222168,,-2.4851813316345215
4277,,,-4.0078935623168945,
4278,4.6065750152333,9.210494041442871,,0.1843535304069519
4297,3.465508535920323,,-2.5115175247192383,0.4189853072166443
4298,,8.226476669311523,,
4317,,,-0.31364041566848755,
4318,1.6795279493626862,8.317456245422363,,-0.6943184733390808
4337,1.754024034381127,,1.2880805730819702,-1.4437036514282227
4338,,8.966285705566406,,
4357,,,2.049436569213867,
4358,3.0368086981890996,8.29590892791748,,-2.1332337856292725
4377,,,1.5298948287963867,
4378,3.29808188671381,7.33583402633667,,-2.0207061767578125
4397,,,-0.05506663769483566,
4398,3.415519351145491,6.457161903381348,,-1.3072341680526733
4417,3.779867881201778,6.196194171905518,-1.381454348564148,-0.44532153010368347
4437,3.2289315086796346,,-1.0678139925003052,
4438,,6.641515731811523,,-0.6919242739677429
4457,,,-0.6751648783683777,
4458,2.3350028014727826,7.479485988616943,,-0.40222588181495667
4477,,,-0.45010992884635925,
4478,1.608655305697155,8.20732307434082,,-0.3998316824436188
4497,,,-1.216254472732544,
4498,1.9957647780375751,8.518569946289062,,0.4644751250743866
4517,2.8982945327252874,,-1.6424223184585571,
4518,,9.442731857299805,,1.702277421951294
4537,2.6702116311599506,,-1.6735470294952393,
4538,,10.630255699157715,,1.3048399686813354
4557,2.864549800792135,10.946290016174316,-1.9105730056762695,1.2880805730819702
4576,,,-2.1045033931732178,
4577,2.785847325344552,10.438719749450684,,1.3263877630233765
4596,,,-1.2665326595306396,
4597,2.9415991569171327,11.14500904083252,,1.7717092037200928
4616,,,-0.8978256583213806,
4617,3.9516481799772953,11.961431503295898,,2.63362193107605
4636,,,-0.8068459630012512,
4637,4.471494672104746,12.598289489746094,,2.896984100341797
4656,4.639439081291366,,-0.6248866319656372,3.5697548389434814
4657,,12.073959350585938,,
4676,2.6636606399963787,,-0.6248866319656372,2.1499931812286377
4677,,10.826580047607422,,
4696,5.620841969039689,,-3.8091750144958496,-4.680664539337158
4697,,11.420342445373535,,
4716,11.16895927314256,11.21444034576416,-5.418078422546387,-10.371682167053223
4736,2.8626856581270137,10.541669845581055,-1.192312479019165,-3.0765492916107178
4755,,,0.6512228846549988,
4756,1.8939831756964387,9.627084732055664,,-1.1420341730117798
4775,,,-0.35913026332855225,
4776,3.695923962318719,11.128249168395996,,-3.706224203109741
4795,5.064273476494586,,-0.2801215946674347,-4.046200752258301
4796,,13.041216850280762,,
4815,,,-0.4189853072166443,
4816,2.423765859488056,11.805809020996094,,-0.8164227604866028
4834,,,-0.49559974670410156,
4835,1.043176523150981,10.002974510192871,,-0.28730419278144836
4854,,,-1.3718775510787964,
4855,2.1081529256156877,7.694964408874512,,-1.0462661981582642
4874,,,-1.8531121015548706,
4875,3.264369303380446,6.536170482635498,,-0.5578489899635315
4895,2.9427294344975388,7.0317702293396,-2.049436569213867,-0.08140286058187485
4914,,,-1.5849615335464478,
4915,2.8175768489562394,7.000645637512207,,-0.7589619159698486
4934,,,-0.6751648783683777,
4935,2.838070742305427,,,-1.0558429956436157
4936,,6.916848659515381,,
4954,2.8474054003668123,,0.021547814831137657,
